address1,address2,address3,city,country,county,email,endDate,externalLocationId,faxNumber,geocode,hours,latitude,locationId,longitude,name,phoneNumber,postalCode,relatedArticles,relatedMediaContent,siteGroups,sites,startDate,stateAddress,type,version,neighbourhood,colony
Av Raul Salinas,3300,,ESCOBEDO,MX,,tienda24@impuls.com.mx,,,,,,25.791238,24,-100.323231,Sucursal 24 Escobedo,3841167,66050,,,,,1/1/2003,Nuevo León,STORE,,Fracc. Girasoles,
Calle Hidalgo,200,,VALLE HERMOSO,MX,,tienda25@impuls.com.mx,,,,,,25.673131,25,-97.815975,Sucursal 25 Valle Hermoso,8420934,87500,,,,,1/1/2003,Tamaulipas,STORE,,Centro,
Abasolo,610,,MATAMOROS,MX,,tienda26@impuls.com.mx,,,,,,25.881115,26,-97.505715,Sucursal 26 Matamoros,8123291,87300,,,,,1/1/2003,Tamaulipas,STORE,,Zona Centro,
Jose las Fuentes Rodriguez,595,,ACUÑA,MX,,tienda27@impuls.com.mx,,,,,,29.321962,27,-100.956182,Sucursal 27 Ciudad Acuña,7722300,26230,,,,,1/1/2003,Coahuila,STORE,,Parque Industrial Amistad,
Av F Galvan,100,,SAN NICOLAS DE LOS GARZA,MX,,tienda28@impuls.com.mx,,,,,,25.724192,28,-100.217923,Sucursal 28 San Nicolas,3692762,66477,,,,,1/1/2003,Nuevo León,STORE,,La Fe,
Padre Mier,216,,MONTERREY,MX,,tienda29@impuls.com.mx,,,,,,25.668478,29,-100.314395,Sucursal 29 Monterrey,3459392,64000,,,,,1/1/2003,Nuevo León,STORE,,Monterrey Centro,
Avenida Francisco I Madero,1160,,RIO BRAVO,MX,,tienda30@impuls.com.mx,,,,,,25.987339,30,-98.110096,Sucursal 30 Rio Bravo,9346691,88990,,,,,1/1/2003,Tamaulipas,STORE,,Francisco I Madero,
Madero Pte,155,,ACUÑA,MX,,tienda31@impuls.com.mx,,,,,,29.324485,31,-100.933441,Sucursal 31 Ciudad Acuña,7723148,26200,,,,,1/1/2003,Coahuila,STORE,,Ciudad Acuña Centro,
AV. Tulum Manz.01 Lote 4,S/N,,BENITO JUAREZ (CANCUN),MX,,tienda32@impuls.com.mx,,,,,,21.171436,32,-86.82637,Sucursal 32 Cancun,8875792,77524,,,,,1/1/2003,Quintana Roo,STORE,,Supermanzana 64,
AV. Tulum Manz.01 Lote 4,S/N,,BENITO JUAREZ (CANCUN),MX,,tienda33@impuls.com.mx,,,,,,21.171436,33,-86.82637,Sucursal 33 Cancun,8875882,77524,,,,,1/1/2003,Quintana Roo,STORE,,Supermanzana 64,
Periferico Carlos Pellicer,205,,VILLAHERMOSA,MX,,tienda34@impuls.com.mx,,,,,,17.971582,34,-92.923939,Sucursal 34 Villahermosa,3144844,86090,,,,,1/1/2003,Tabasco,STORE,,Guayabal,
60,501-B,,MERIDA,MX,,tienda36@impuls.com.mx,,,,,,20.965957,36,-89.623349,Sucursal 36 Mérida,9285603,97000,,,,,1/1/2003,Yucatán,STORE,,Merida Centro,
SENDERO NTE,130,,ESCOBEDO,MX,,tienda38@impuls.com.mx,,,,,,25.766851,38,-100.301057,Sucursal 38 Escobedo,580967,66051,,,,,1/1/2003,Nuevo León,STORE,,JARDINES ESCOBEDO,
Juarez,305,,COATZACOALCOS,MX,,tienda40@impuls.com.mx,,,,,,18.146358,40,-94.414368,Sucursal 40 Coatzacoalcos,2128865,96380,,,,,10/20/2003,Veracruz,STORE,,Centro,
Juarez,301,,VILLAHERMOSA,MX,,tienda42@impuls.com.mx,,,,,,17.988427,42,-92.918528,Sucursal 42 Villahermosa,3148102,86000,,,,,9/1/2004,Tabasco,STORE,,Centro,
Carretera Reynosa-Monterrey,1000,,REYNOSA,MX,,tienda43@impuls.com.mx,,,,,,26.055624,43,-98.365945,Sucursal 43 Reynosa,9468812,87730,,,,,1/1/2003,Tamaulipas,STORE,,Lomas del Real Jarachina Sur,
Juarez,302,,COATZACOALCOS,MX,,tienda45@impuls.com.mx,,,,,,18.146479,45,-94.414078,Sucursal 45 Coatzacoalcos,2131213,96400,,,,,2/20/2005,Veracruz,STORE,,Centro,
Av Pablo Livas,7601,,GUADALUPE,MX,,tienda46@impuls.com.mx,,,,,,25.656154,46,-100.183575,Sucursal 46 Guadalupe,2823350,67190,,,,,9/29/2005,Nuevo León,STORE,,Tres Caminos,
Benito Juarez,512,,VILLAHERMOSA,MX,,tienda48@impuls.com.mx,,,,,,17.990947,48,-92.918037,Sucursal 48 Villahermosa,3125113,86000,,,,,3/4/2006,Tabasco,STORE,,Villahermosa Centro,
Av Francisco I Madero,625,,VILLAHERMOSA,MX,,tienda49@impuls.com.mx,,,,,,17.991693,49,-92.917009,Sucursal 49 Villahermosa,1312700,86000,,,,,3/4/2006,Tabasco,STORE,,Villahermosa Centro,
Eloy Cavazos,101,,JUAREZ,MX,,tienda51@impuls.com.mx,,,,,,25.640401,51,-100.154717,Sucursal 51 Juárez,613660,67289,,,,,10/3/2006,Nuevo León,STORE,,VALLE DE JUAREZ,
Ave. Constitiyentes,300,,MATAMOROS,MX,,tienda53@impuls.com.mx,,,,,,25.856613,53,-97.537054,Sucursal 53 Matamoros,8254570,87345,,,,,1/1/2003,Tamaulipas,STORE,,Fracc. Quinta Real,
Juarez,125,,IRAPUATO,MX,,tienda54@impuls.com.mx,,,,,,20.673487,54,-101.346987,Sucursal 54 Irapuato,267697,36500,,,,,7/31/2007,Guanajuato,STORE,,Centro,
Av. Lincoln,4001,,MONTERREY,MX,,tienda56@impuls.com.mx,,,,,,25.762405,56,-100.409296,Sucursal 56 Monterrey,1675188,64346,,,,,9/30/2007,Nuevo León,STORE,,Puerta de Hierro,
Av. Revolucion,99,,SANTIAGO DE QUERETARO,MX,,tienda57@impuls.com.mx,,,,,,20.618012,57,-101.438808,Sucursal 57 Queretaro,2200892,76114,,,,,12/7/2007,Querétaro,STORE,,El Rocio,
Carretera A. Reynosa,1800,,JUAREZ,MX,,tienda58@impuls.com.mx,,,,,,25.649129,58,-100.114217,Sucursal 58 Juárez,8615886,67250,,,,,3/15/2008,Nuevo León,STORE,,Paseo del Prado,
Av. de la Concordia Esquina,800,,APODACA,MX,,tienda59@impuls.com.mx,,,,,,25.785162,59,-100.237824,Sucursal 59 Apodaca,430469,66612,,,,,7/15/2008,Nuevo León,STORE,,Los Ebanos,
Av. Circuito Colonias,S/N,,MERIDA,MX,,tienda60@impuls.com.mx,,,,,,20.974743,60,-89.595403,Sucursal 60 Mérida,188 1045,97158,,,,,12/3/2008,Yucatán,STORE,,Chuminopolis,
Puerto Marquez,233,,Acapulco,MX,,tienda62@impuls.com.mx,,,,,,16.833569,62,99.812673,Sucursal 62 Acapulco,4061477,39905,,,,,12/16/2009,Guerrero,STORE,,El Cayaco,
Abraham Lincoln,5254,,MONTERREY,MX,,tienda65@impuls.com.mx,,,,,,25.727716,65,-100.368681,Sucursal 65 Monterrey,1105910,64330,,,,,7/15/2010,Nuevo León,STORE,,San Jose,
AVE. CUAUHTEMOC,27B,,ACAPULCO,MX,,tienda66@impuls.com.mx,,,,,,16.8524,66,-99.906866,Sucursal 66 Acapulco,4800210,39300,,,,,8/19/2011,Guerrero,STORE,,CENTRO,
AV. NICHUPTE MA.18 LOT 1-01 AL 1-04,LOC 34 35,,Benito Juarez,MX,,tienda67@impuls.com.mx,,,,,,21.139328,67,-86.854491,Sucursal 67 Cancun,8492042,77533,,,,,11/28/2011,Quintana Roo,STORE,,SM 51,
No. 65 #'s 486 y 488,,,Merida,MX,,tienda68@impuls.com.mx,,,,,,20.965083,68,-89.622751,Sucursal 68 Mérida,9237124,97000,,,,,12/30/2011,Yucatán,STORE,,Merida Centro,
Calle 1 Poniente - Sur,460 - 1,,Tuxtla Gutiérrez,MX,,rilopez@impuls.com.mx,,,,,,16.75074,69,-93.117555,Sucursal 69 Tuxtla Gutiérrez,6126588,29000,,,,,4/25/2012,Chiapas,STORE,,Centro Tuxtla Gutiérrez,
Ave. Juárez Sur,569,,Monterrey,MX,,tienda70@impuls.com.mx,,,,,,25.670494,70,-100.316817,Sucursal 70 Monterrey,3446690,64000,,,,,10/28/2012,Nuevo León,STORE,,Zona Centro,
Calle 22,146,,Ciudad del Carmen,MX,,tienda71@impuls.com.mx,,,,,,18.639462,71,-91.837105,Sucursal 71 Ciudad del Carmen,3813060,24100,,,,,,Campeche,STORE,,Zona Centro,
Cto. Int. Carlos Ellliser Cam. Loc.,21C y 22C,,Villahermosa,MX,,tienda72@impuls.com.mx,,,,,,18.018767,72,-92.914,Sucursal 72 Villahermosa,3572758,86029,,,,,3/16/2013,Tabasco,STORE,,Colonia José Ma. Pino Suarez,
Ave. Guerrero,953,,Nuevo Laredo,MX,,tienda73@impuls.com.mx,,,,,,27.491355,73,-99.507556,Sucursal 73 Nuevo Laredo,,88000,,,,,12/15/2013,Tamaulipas,STORE,,Centro,
Simón Bolívar L-3 y Libertad,L. 22 y 23,,Montemorelos,MX,,tienda74@impuls.com.mx,,,,,,25.190503,74,-99.818712,Sucursal 74 Montemorelos,2635116,67550,,,,,,Nuevo León,STORE,,,
Av. Reforma,5601,,Nuevo Laredo,MX,,tienda75@impuls.com.mx,,,,,,27.445269,75,-99.51984,Sucursal 75 Laredo III,7171832,88240,,,,,5/23/2014,Tamaulipas,STORE,,,
AV KABAH  LOC 16171819 Y 31,,,Cancún,MX,,tienda76@impuls.com.mx,,,,,,21.152479,76,-86.844784,Sucursal 76 Cancún,2063452,77500,,,,,8/15/2014,Quintana Roo,STORE,,,
Carr. Miguel Alemán KM. 18 Bq D Loc 6 y 7,789,,Apodaca,MX,,,,,,,,0,77,0,Sucursal 77 Sendero La Fe,,66600,,,,,9/17/2014,Nuevo León,STORE,,,
Av. dr. José Lemarroy Carrión,45,,Coatzacoalcos,MX,,tienda78@impuls.com.mx,,,,,,18.144067,78,-94.513672,Sucursal 78 Sendero Coatzacoal,2482445,96536,,,,,9/17/2014,Veracruz,STORE,,,
HIDALGO SUR,200,,MONCLOVA,MX,,tienda80@impuls.com.mx,,,,,,26.900191,80,-101.416392,Sucursal 80 Monclova,6324501,25700,,,,,3/28/2015,Coahuila,STORE,,ZONA CENTRO,
Calle Cincuenta y Seis,503,,Mérida,MX,,tienda81@impuls.com.mx,,,,,,20.966748,81,-89.620692,Sucursal 81 Mérida,9235679,97000,,,,,4/21/2015,Yucatán,STORE,,,
Matamoros,155B y 157,,Hermosillo,MX,,tienda82@impuls.com.mx,,,,,,29.079153,82,-110.952436,Sucursal 82 Hermosillo,2120370,83000,,,,,2/5/2016,Sonora,STORE,,Centro,
Calle 21,327,,Mérida,MX,,tienda83@impuls.com.mx,,,,,,20.991787,83,-89.650119,Sucursal 83 Mérida,9877211,97229,,,,,2/5/2016,Yucatán,STORE,,,
Calle 22,154-C,,Ciudad del Carmen,MX,,tienda84@impuls.com.mx,,,,,,18.639347,84,-91.837044,Sucursal 84 Campeche,3814487,24100,,,,,3/14/2016,Campeche,STORE,,Centro,
Benito Juárez,58,,Culiacán,MX,,tienda85@impuls.com.mx,,,,,,24.592906,85,-107.38971,Sucursal 85 Culiacán,7121318,80000,,,,,3/14/2016,Sinaloa,STORE,,Centro,
Blvd. Antonio Cárdenas,999,,Saltillo,MX,,tienda86@impuls.com.mx,,,,,,25.393182,86,-101.002537,Sucursal 86 Lourdes,4179557,25090,,,,,5/10/2016,Coahuila,STORE,,Lourdes,
Blvd. Jesús Valdez Sanchez,365,,Saltillo,MX,,tienda87@impuls.com.mx,,,,,,25.441458,87,-100.959932,Sucursal 87 Sendero,4318313,25010,,,,,5/10/2016,Coahuila,STORE,,Ex Hacienda de los Cerritos,
Aldama Poniente,548,,Saltillo,MX,,tienda88@impuls.com.mx,,,,,,25.42472,88,-101.003528,Sucursal 88 Centro,4126933,25000,,,,,5/21/2016,Coahuila,STORE,,Centro,
Rubí,175 Nte,,Culiacán,MX,,tienda89@impuls.com.mx,,,,,,24.806245,89,-107.396308,Sucursal 89 Culiacán Rubí,2846618,80194,,,,,7/8/2016,Sinaloa,STORE,,Centro,
NA,NA,,Irapuato,MX,,tienda90@impuls.com.mx,,,,,,20.672067,90,-101.370924,Sucursal 90 Irapuato,6248318,36500,,,,,7/8/2016,Guanajuato,STORE,,,
Blvd. Juan Alonso de Torres,NA,,León,MX,,tienda91@impuls.com.mx,,,,,,21.145367,91,-101.646839,Sucursal 91 León Galerias,7757811,37500,,,,,7/8/2016,Guanajuato,STORE,,,
NA,NA,,San Luis Potosí,MX,,tienda92@impuls.com.mx,,,,,,22.131592,92,-100.924876,Sucursal 92 San Luis,8546556,78000,,,,,7/15/2016,San Luis Potosí,STORE,,,
NA,NA,,Los Mochis,MX,,tienda93@impuls.com.mx,,,,,,25.818067,93,-108.977532,Sucursal 93 Los Mochis,6885142,81200,,,,,,Sinaloa,STORE,,,
PENDIENTE,PENDI,,Culiacan,MX,,tienda94@impuls.com.mx,,,,,,24.748649,94,-107.426987,Sucursal 94 Culiacan,7104270,80000,,,,,10/24/2016,Sinaloa,STORE,,,
Blvd. Heberto Castillo,1250,,Garcia,MX,,tienda95@impuls.com.mx,,,,,,25.787591,95,-100.580799,Sucursal 95 Plazoleta Garcia,3549578,66004,,,,,9/26/2016,Nuevo León,STORE,,,
Industriales,115,,León de los Aldamas,MX,,outlet41@impuls.com.mx,,,,,,21.103264,111,-101.633787,Sucursal 41Outlet  León,6,37260,,,,,10/1/2006,Guanajuato,STORE,,,
